,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,label
0,0.49,0.5,0.5,0.55,0.51,0.32,0.61,0.37,0.39,0.38,0.4,0.4,0.4,0.39,0.4,0.4,0.38,0.39,0.38,0
1,0.48,0.5,0.5,0.55,0.5,0.32,0.63,0.39,0.44,0.37,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0
2,0.48,0.5,0.5,0.55,0.5,0.32,0.64,0.35,0.38,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0
3,0.48,0.5,0.5,0.49,0.48,0.32,0.65,0.38,0.32,0.33,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0
4,0.47,0.5,0.5,0.49,0.5,0.32,0.66,0.38,0.38,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.34,0
5,0.5,0.5,0.5,0.49,0.49,0.32,0.67,0.34,0.36,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33,0
6,0.49,0.5,0.5,0.55,0.5,0.32,0.67,0.29,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33,0
7,0.48,0.5,0.5,0.49,0.49,0.32,0.68,0.31,0.32,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.32,0
8,0.49,0.5,0.5,0.49,0.48,0.32,0.69,0.32,0.3,0.29,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0
9,0.49,0.5,0.5,0.49,0.48,0.32,0.7,0.7,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0
10,0.47,0.5,0.5,0.49,0.48,0.32,0.7,0.42,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.31,0
11,0.49,0.5,0.5,0.49,0.47,0.32,0.71,0.36,0.27,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.3,0.29,0.3,0
12,0.47,0.5,0.5,0.49,0.47,0.32,0.72,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0
13,0.49,0.5,0.5,0.49,0.45,0.32,0.72,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.29,0
14,0.49,0.5,0.5,0.55,0.45,0.32,0.73,0.31,0.27,0.28,0.26,0.26,0.26,0.27,0.26,0.26,0.27,0.28,0.28,0
15,0.49,0.5,0.5,0.49,0.46,0.32,0.73,0.31,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.28,0
16,0.48,0.5,0.5,0.49,0.46,0.32,0.74,0.32,0.26,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.27,0.27,0.27,0
17,0.48,0.5,0.5,0.49,0.45,0.32,0.74,0.28,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.27,0
18,0.48,0.5,0.5,0.49,0.45,0.32,0.74,0.32,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.26,0.26,0.27,0
19,0.47,0.5,0.5,0.49,0.45,0.32,0.75,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.26,0.26,0
20,0.48,0.5,0.5,0.49,0.46,0.32,0.75,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.25,0.25,0.26,0
21,0.48,0.5,0.5,0.49,0.46,0.32,0.75,0.28,0.25,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.25,0.25,0.26,0
22,0.48,0.5,0.5,0.49,0.45,0.32,0.76,0.26,0.27,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.26,0
23,0.48,0.5,0.5,0.49,0.45,0.32,0.76,0.32,0.25,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.24,0.25,0
24,0.48,0.5,0.5,0.49,0.46,0.32,0.76,0.71,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.24,0.26,0
25,0.47,0.5,0.5,0.49,0.45,0.32,0.76,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.23,0.24,0.25,0
26,0.47,0.5,0.5,0.49,0.45,0.32,0.77,0.25,0.22,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.23,0.24,0.25,0
27,0.48,0.5,0.5,0.49,0.45,0.32,0.77,0.25,0.23,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.24,0.25,0
28,0.48,0.5,0.5,0.49,0.46,0.32,0.77,0.23,0.21,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.23,0.24,0
29,0.48,0.5,0.5,0.49,0.46,0.32,0.77,0.28,0.23,0.23,0.2,0.21,0.21,0.22,0.21,0.2,0.23,0.23,0.24,0
30,0.48,0.5,0.5,0.49,0.46,0.32,0.77,0.3,0.23,0.23,0.2,0.21,0.21,0.21,0.21,0.2,0.23,0.23,0.24,0
31,0.48,0.5,0.5,0.49,0.45,0.32,0.77,0.26,0.22,0.23,0.2,0.2,0.21,0.21,0.21,0.2,0.23,0.23,0.24,0
32,0.48,0.5,0.5,0.49,0.46,0.32,0.78,0.24,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.24,0
33,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.28,0.25,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.24,0
34,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.26,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.22,0.23,0
35,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.24,0.22,0.23,0.19,0.2,0.2,0.21,0.2,0.19,0.23,0.22,0.23,0
36,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.22,0.23,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.22,0.22,0.23,0
37,0.48,0.5,0.5,0.49,0.47,0.32,0.78,0.32,0.21,0.23,0.19,0.2,0.2,0.21,0.2,0.19,0.23,0.22,0.23,0
38,0.48,0.5,0.5,0.55,0.46,0.32,0.78,0.29,0.2,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.22,0.22,0.23,0
39,0.48,0.5,0.5,0.55,0.46,0.32,0.78,0.34,0.22,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.23,0.22,0.24,0
40,0.48,0.5,0.5,0.49,0.46,0.32,0.78,0.33,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.24,0
41,0.48,0.5,0.5,0.49,0.46,0.32,0.78,0.35,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
42,0.48,0.5,0.5,0.49,0.47,0.32,0.78,0.26,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
43,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.24,0.24,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
44,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.26,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
45,0.48,0.5,0.5,0.49,0.46,0.32,0.78,0.23,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
46,0.47,0.5,0.5,0.49,0.48,0.32,0.78,0.21,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
47,0.48,0.5,0.92,0.62,0.54,0.32,0.77,0.23,0.2,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
48,0.48,0.5,1.0,0.55,0.82,0.32,0.72,0.24,0.28,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.25,0.22,0.27,0
49,0.48,0.5,1.0,0.55,0.82,0.32,0.72,0.25,0.29,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.26,0.22,0.26,0
50,0.48,0.5,1.0,0.49,0.63,0.32,0.76,0.3,0.25,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.24,0
51,0.48,0.5,0.5,0.49,0.46,0.32,0.78,0.29,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
52,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.23,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23,0
53,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.23,0.21,0.23,0.19,0.19,0.2,0.2,0.2,0.19,0.22,0.22,0.23,0
54,0.48,0.5,0.5,0.49,0.46,0.32,0.78,0.28,0.22,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.23,0.22,0.23,0
55,0.48,0.5,0.5,0.49,0.45,0.32,0.78,0.31,0.22,0.23,0.19,0.2,0.2,0.21,0.2,0.19,0.23,0.22,0.23,0
56,0.48,0.5,0.5,0.49,0.49,0.32,0.78,0.26,0.22,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.22,0.24,0
57,0.48,0.5,0.5,0.49,0.48,0.32,0.78,0.27,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.24,0.23,0.25,0
58,0.48,0.5,0.5,0.49,0.47,0.32,0.78,0.27,0.22,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.24,0
59,0.48,0.5,0.5,0.49,0.46,0.32,0.77,0.19,0.22,0.23,0.2,0.2,0.21,0.21,0.21,0.2,0.23,0.23,0.24,0
60,0.48,0.5,0.5,0.49,0.46,0.32,0.77,0.26,0.21,0.23,0.2,0.21,0.21,0.21,0.21,0.2,0.23,0.23,0.24,0
61,0.47,0.5,0.5,0.49,0.46,0.32,0.77,0.31,0.22,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.24,0.24,0
62,0.47,0.5,0.5,0.49,0.45,0.32,0.77,0.31,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.23,0.24,0.25,0
63,0.49,0.5,0.5,0.49,0.45,0.32,0.76,0.34,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.25,0
64,0.48,0.5,0.5,0.49,0.46,0.32,0.76,0.29,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.24,0.25,0
65,0.48,0.5,0.5,0.49,0.47,0.32,0.76,0.28,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.25,0.25,0.27,0
66,0.49,0.5,0.5,0.49,0.47,0.32,0.75,0.35,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.25,0.25,0.26,0
67,0.48,0.5,0.5,0.49,0.46,0.32,0.75,0.33,0.22,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.26,0.25,0.26,0
68,0.49,0.5,0.5,0.49,0.47,0.32,0.74,0.34,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.26,0.26,0.27,0
69,0.49,0.5,0.5,0.49,0.47,0.32,0.74,0.38,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.26,0.27,0
70,0.48,0.5,0.5,0.49,0.47,0.32,0.73,0.32,0.25,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.27,0
71,0.47,0.5,0.5,0.49,0.47,0.32,0.73,0.26,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.28,0
72,0.5,0.5,0.5,0.49,0.47,0.32,0.72,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.28,0.28,0
73,0.48,0.5,0.5,0.49,0.47,0.32,0.72,0.31,0.3,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.29,0.29,0
74,0.49,0.5,0.5,0.49,0.47,0.32,0.71,0.27,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.3,0
75,0.49,0.5,0.5,0.49,0.47,0.32,0.7,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.31,0
76,0.48,0.5,0.5,0.49,0.46,0.32,0.7,0.37,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.31,0
