Data,ClassEntropy,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilityMin,ClassProbabilitySTD,DatasetRatio,InverseDatasetRatio,KurtosisMax,KurtosisMean,KurtosisMin,KurtosisSTD,Landmark1NN,LandmarkDecisionNodeLearner,LandmarkDecisionTree,LandmarkLDA,LandmarkNaiveBayes,LandmarkRandomNodeLearner,LogDatasetRatio,LogInverseDatasetRatio,LogNumberOfFeatures,LogNumberOfInstances,NumberOfCategoricalFeatures,NumberOfClasses,NumberOfFeatures,NumberOfFeaturesWithMissingValues,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC,PercentageOfFeaturesWithMissingValues,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,RatioNominalToNumerical,RatioNumericalToNominal,SkewnessMax,SkewnessMean,SkewnessMin,SkewnessSTD,SymbolsMax,SymbolsMean,SymbolsMin,SymbolsSTD,SymbolsSum
10,1.227677502,0.547297297,0.25,0.013513514,0.234693979,0.121621622,8.222222222,28.71360895,9.512437578,-0.52749456,13.58201658,0.817380952,0.758373016,0.843551587,0.829662698,0.61265873,0.54952381,-2.106840516,2.106840516,2.890371758,4.997212274,15,4,18,0,148,0,0,3,0.446808511,-0.350354369,-0.558601676,0,0,0,5,0.2,5.387046595,2.302843498,0.330402533,2.208985222,8,2.933333333,2,1.569146973,44
1004,0.650022422,0.833333333,0.5,0.166666667,0.333333333,0.1,10,0.583361725,-0.562755299,-1.214767456,0.592995673,1,0.975,0.99,1,1,0.833333333,-2.302585093,2.302585093,4.094344562,6.396929655,0,2,60,0,600,0,0,60,0.483333333,-0.873059034,0.024293406,0,0,0,0,0,0.931437373,0.03391965,-0.690259278,0.288004701,0,0,0,0,0
1005,0.938575089,0.644859813,0.5,0.355140187,0.144859813,0.042056075,23.77777778,53.3923358,9.650634316,-0.428701912,15.82820373,0.795064935,0.702186147,0.791709957,0.672467532,0.592445887,0.645151515,-3.168751438,3.168751438,2.197224577,5.365976015,0,2,9,0,214,0,0,9,0.666666667,2.53993988,0.432219446,0,0,0,0,0,6.505636692,1.640987863,-1.144464731,2.165862649,0,0,0,0,0
1006,0.993535622,0.547297297,0.5,0.452702703,0.047297297,0.121621622,8.222222222,28.71360895,9.512437578,-0.52749456,13.58201658,0.829880952,0.79702381,0.864642857,0.842797619,0.683035714,0.547678571,-2.106840516,2.106840516,2.890371758,4.997212274,15,2,18,0,148,0,0,3,0.446808511,-0.350354369,-0.558601676,0,0,0,5,0.2,5.387046595,2.302843498,0.330402533,2.208985222,8,2.933333333,2,1.569146973,44
1009,0.969063253,0.603174603,0.5,0.396825397,0.103174603,0.492063492,2.032258065,43.76502989,7.050778913,-0.463743859,11.87434525,0.611904762,0.572380952,0.61,0.781428571,0.616666667,0.605714286,-0.709147522,0.709147522,3.433987204,4.143134726,4,2,31,0,63,0,0,27,0.534883721,-0.944196877,-0.043143242,0,0,0,0.148148148,6.75,6.279502455,1.638755445,-0.308215622,1.688891889,7,4,3,1.732050808,16
1011,0.9839668,0.574404762,0.5,0.425595238,0.074404762,0.020833333,48,331.0029907,51.18799296,-1.04707576,114.6707673,0.946493506,0.881731602,0.928484848,0.961471861,0.598354978,0.729437229,-3.871201011,3.871201011,1.945910149,5.81711116,0,2,7,0,336,0,0,7,0.857142857,-1.11146915,0.170575842,0,0,0,0,0,18.24836922,3.589385266,-0.165213868,6.259997649,0,0,0,0,0
1012,0.939030249,0.644329897,0.5,0.355670103,0.144329897,0.144329897,6.928571429,80.79653752,68.26893775,55.74133799,12.52759976,0.680701754,0.644298246,0.691754386,0.695643275,0.644298246,0.644298246,-1.935653649,1.935653649,3.33220451,5.267858159,26,2,28,0,194,0,0,2,0.366666667,-0.22723531,-0.593766258,0,0,0,13,0.076923077,8.538741158,7.635972711,6.733204263,0.902768448,14,4.538461538,2,3.444402027,118
1013,0.347816914,0.934782609,0.5,0.065217391,0.434782609,0.014492754,69,-0.016832067,-0.016832067,-0.016832067,0,0.914285714,0.935714286,0.935714286,0.928571429,0.178571429,0.935714286,-4.234106505,4.234106505,0.693147181,4.927253685,1,2,2,0,138,0,0,1,0.75,-0.088463202,0.559093675,0,0,0,1,1,-0.610276137,-0.610276137,-0.610276137,0,3,3,3,0,3
1014,0.710748319,0.805520703,0.5,0.194479297,0.305520703,0.005018821,199.25,0,0,0,0,0.653742772,0.805557118,0.700325832,0.805557118,0.529383693,0.805557118,-5.294560318,5.294560318,1.386294361,6.680854679,4,2,4,0,797,0,0,0,0.714285714,-1.667197817,0.038299711,0,0,0,0,0,0,0,0,0,9,5.25,2,2.861380786,21
1015,0.650022422,0.833333333,0.5,0.166666667,0.333333333,0.041666667,24,-0.149173975,-1.10665683,-1.938267231,0.735797334,0.835714286,0.848214286,0.873214286,0.875,0.776785714,0.835714286,-3.17805383,3.17805383,1.098612289,4.276666119,0,2,3,0,72,0,0,3,0.666666667,-1.915028572,0.050166678,0,0,0,0,0,0.843818545,0.357612138,0.037632942,0.349482876,0,0,0,0,0
1016,0.439496987,0.909090909,0.5,0.090909091,0.409090909,0.012121212,82.5,0.145598958,-0.395105543,-0.762830068,0.258192191,1,0.947474747,0.982828283,0.956565657,0.925252525,0.909090909,-4.412798293,4.412798293,2.48490665,6.897704943,2,2,12,0,990,0,0,10,0.481481481,0.140496315,-0.84731234,0,0,0,0.2,5,0.356519192,0.091114666,-0.205782191,0.159641032,15,8.5,2,6.5,17
1019,0.481783666,0.895924309,0.5,0.104075691,0.395924309,0.001455604,687,3.048814774,-0.501360846,-1.685572147,1.110762944,0.997908429,0.895924525,0.988446518,0.971796996,0.972618158,0.895924525,-6.532334292,6.532334292,2.772588722,9.304923014,0,2,16,0,10992,0,0,16,0.625,-0.861941814,0.635717332,0,0,0,0,0,0.948135257,-0.039190784,-1.490979552,0.654752286,0,0,0,0,0
1020,0.468995594,0.9,0.5,0.1,0.4,0.032,31.25,0.576492786,-0.048539416,-0.945347548,0.251701751,0.987,0.9,0.956,0.9915,0.9845,0.9,-3.442019376,3.442019376,4.158883083,7.60090246,0,2,64,0,2000,0,0,64,0.78125,-0.159642458,0.308281183,0,0,0,0,0,0.418407947,-0.004282451,-0.338858724,0.163290956,0,0,0,0,0
1021,0.476308484,0.897679518,0.5,0.102320482,0.397679518,0.001827151,547.3,4812.488855,652.2324741,0.690200695,1402.86426,0.969303367,0.897131,0.966378988,0.948287607,0.900235191,0.897679446,-6.304997098,6.304997098,2.302585093,8.607582191,0,2,10,0,5473,0,0,10,0.7,108.0673141,8.055055618,0,0,0,0,0,67.40694427,14.70742156,-0.83448869,18.88525624,0,0,0,0,0
1022,0.468995594,0.9,0.5,0.1,0.4,0.12,8.333333333,0,0,0,0,0.9875,0.9,0.9835,0.9125,0.9685,0.9,-2.120263536,2.120263536,5.480638923,7.60090246,240,2,240,0,2000,0,0,0,0.423543689,-0.804969546,-0.197643778,0,0,0,0,0,0,0,0,0,7,6.866666667,5,0.490464632,1648
1025,0.769192829,0.775,0.5,0.225,0.275,0.0125,80,0,0,0,0,0.79,0.79,0.91,0.9075,0.69,0.775,-4.382026635,4.382026635,1.609437912,5.991464547,5,2,5,0,400,0,0,0,0.722222222,-1.935708407,9.42E-17,0,0,0,0,0,0,0,0,0,5,3.6,2,1.356465997,18
1026,0.900122144,0.683870968,0.5,0.316129032,0.183870968,0.051612903,19.375,-0.320851599,-0.79969402,-1.278536441,0.478842421,0.690178571,0.690595238,0.672321429,0.696428571,0.594821429,0.711547619,-2.963983575,2.963983575,2.079441542,5.043425117,6,2,8,0,155,0,0,2,0.5,-1.349080371,-0.245076943,0,0,0,3,0.333333333,0.58009516,0.397135926,0.214176691,0.182959234,21,7.666666667,3,6.155395104,46
